variant	stage	epsilon	time
COLLECT	ACollect	20	5.835387437945176
COLLECT	Pairs	20	0.0022011606666666665
COLLECT	CCliques	20	0.43146988992
COLLECT	BMBC	20	0.0872541236
EACH	AEach	20	5.976980358299158
EACH	Pairs	20	0.0022011606666666665
EACH	CCliques	20	0.43146988992
EACH	BMBC	20	0.0872541236
HASH	AHash	20	5.716781782862076
HASH	Pairs	20	0.0022011606666666665
HASH	CCliques	20	0.43146988992
HASH	BMBC	20	0.0872541236
BFE	DAMaximals	20	5.783805760333334
BFE	DBCandidates	20	0.38748703166666637
BFE	DCCenters	20	0.007865473666666666
BFE	Pairs	20	0.0022011606666666665

